ID,FirstName,LastName,Email,Phone,DateOfBirth,Department,Salary,Status,Notes,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50
83,Diana,,diana.williams@example.com,555-4111,,Marketing,97726,,Good worker,Data_83_11,#N/A,Data_83_13,519,, ,188,507,685,,920,Data_83_22,,Data_83_24,Data_83_25,Data_83_26,836,886,,,186,181,Data_83_33,error,Data_83_35,,,704,error,error,710,,,Data_83_44,,Data_83_46,Data_83_47,Data_83_48,,5
84,,Smith,charlie.smith@example.com,555-1029,05/15/1990,IT,TBD,,, ,Data_84_12,Data_84_13,75,844,,error,error,NULL,457,297,,,,Data_84_25,904,521,,Data_84_29,259, ,Data_84_32,581,Data_84_34,Data_84_35,Data_84_36,595, ,189,,Data_84_41,649,Data_84_43,532,Data_84_45,494,335,Data_84_48,error,Data_84_50
85,Fiona,Brown,fiona.brown@example,555-8063,05/15/1990,Finance,83912,Active,Good worker,error,NULL,,Data_85_14,Data_85_15,165,521,432,349,600,,NULL,994,898,,561,191,258,error,770,818,,816,814,,,,Data_85_38,,Data_85_40,Data_85_41,847,,316,313,#N/A,NULL,#N/A,Data_85_49,466
86,Hannah,Davis,hannah.davis@example.com,,1990-05-15,HR,58467,Pending,,#N/A,Data_86_12,,Data_86_14,,,,212,,817,Data_86_21,271,,Data_86_24,,,,69,,693,,387,215,Data_86_34,200,,942,301,Data_86_39,462,,805,Data_86_43,,98,,error,Data_86_48,Data_86_49,
87,Hannah,Miller,hannah.miller@example.com,555-7755,1990-05-15,Engineering,$65651,Pending,"Promoted, highly skilled",,196,NULL,470,error, ,285,306,,665,,,Data_87_23,,,867,Data_87_27, ,Data_87_29,,Data_87_31,,Data_87_33,347,255,error,,Data_87_38,,NULL,error,902,159,Data_87_44,Data_87_45,,Data_87_47,error,NULL,error
88,George,Brown,george.brown@example.com,555-7148,May 15th 90,IT,73823,,,402,709,,835,203,3,#N/A,72,422,838,777,NULL,Data_88_23,,,Data_88_26,,Data_88_28,,,,Data_88_32,239,,,368,,,,Data_88_40,Data_88_41,,,775,Data_88_45,Data_88_46,Data_88_47, ,382,error
89,  Bob  ,Jones,bob.jones@example.com,,,Sales,$96411,Pending,,Data_89_11,Data_89_12,Data_89_13,230,595,,,431,,error,466,941,Data_89_23,468,394,error,,835,Data_89_29,267,737,521,Data_89_33,427,,Data_89_36,,,,342,766,,333,622,Data_89_45,661,,726,,
90,Evan,Williams,evan.williams@example.com,555-6169,1990-05-15,IT,62896,Inactive,,#N/A,,Data_90_13,Data_90_14,393,NULL,,NULL,#N/A,Data_90_20,,Data_90_22,785,Data_90_24,,,,686,628,error,Data_90_31,Data_90_32,,Data_90_34,,,,734,,970,,Data_90_42,770,283,905,NULL,583,Data_90_48,error,#N/A
91,Bob,Garcia,bob.garcia@example.com,,05/15/1990,Sales,$66522,Pending,,129, ,,#N/A,,error,779,,944,,error,389,471,887,,,#N/A,282,,985,Data_91_31, ,480,247,542,15,Data_91_37,,Data_91_39,Data_91_40,,873,,,871,Data_91_46,#N/A,,,726
92,Alice,Garcia,alice.garcia@example.com,555-8698,1990-05-15,Sales,113810,Pending,,816,,Data_92_13,225,522,480,Data_92_17, ,,681,,,,,Data_92_25,466,123,#N/A,Data_92_29,204,,370,595,821,,,Data_92_37,913,,985,,Data_92_42,Data_92_43,497,,166,959,48,300,
93,Hannah,Brown,hannah.brown@example.com,555-7589,,Engineering,$58293,Pending,,493,Data_93_12,, ,Data_93_15,Data_93_16,784,734,868,Data_93_20,,,233,Data_93_24,534,617,792,NULL,,Data_93_30,,Data_93_32,Data_93_33,NULL,,,434,Data_93_38,824,829,520,NULL,Data_93_43,,,530,545,515,Data_93_49,
94,Charlie,Smith,,555-5761,1990-05-15,IT,50529,Inactive,Needs review,,Data_94_12,Data_94_13,NULL,,Data_94_16,307, ,Data_94_19,Data_94_20,Data_94_21,101,Data_94_23,Data_94_24,,Data_94_26,308,NULL,30,Data_94_30,,,812,,192,586,Data_94_37,266,301,,,,Data_94_43,641,,Data_94_46,, ,Data_94_49,535
95,Bob,Brown,,555-2905,05/15/1990,Sales,97022,,"Promoted, highly skilled", ,,error,467,,NULL,482,,718,,751,941, ,,438,951,,473,,Data_95_30,924,,617,915,683,,#N/A,,Data_95_39, ,error,Data_95_42,Data_95_43,560,,,,437,913,
96,Diana,Johnson,diana.johnson@example.com,555-4777,,Engineering,110487,Pending,On leave,,NULL,226,,679,Data_96_16,,Data_96_18,955, ,NULL,Data_96_22,,,,error,Data_96_27,NULL,759,,,743,,298,Data_96_35,222,777, ,#N/A,275,46,260,,328,error,Data_96_46,666,,,348
97,Fiona,Johnson,fiona.johnsonexample.com,,05/15/1990,HR,74549,Inactive,Needs review,302,93,#N/A,NULL,191,,,Data_97_18,102,,192,Data_97_22,534,54,,,840,,Data_97_29,112,701,833,Data_97_33,,Data_97_35,246,Data_97_37,,Data_97_39,Data_97_40,,,,478,258,,,205, ,752
98,Charlie,Johnson,charlie.johnson@example.com,555-9685,05/15/1990,Engineering,118152,Active,Needs review,Data_98_11,707,,,319,776, ,286,,,,525,,,91,,666,97,,NULL,Data_98_31,,,,,#N/A,Data_98_37,,NULL,,Data_98_41, ,Data_98_43,794,#N/A,Data_98_46,727,,,
99,,Williams,alice.williamsexample.com,555-9307,May 15th 90,Marketing,91433,Pending,, ,,868,285,NULL,,423,,error,Data_99_20,967,826,,,,Data_99_26,833,5,error,,155,766, ,503,,,965,,Data_99_39,201,,Data_99_42,,,,66,,822,,Data_99_50
100,Hannah,Smith,hannah.smith@example.com,555-7294,May 15th 90,Finance,82993,Pending,On leave,914, , ,,563,944,881,Data_100_18,Data_100_19,Data_100_20,718,643, ,196,Data_100_25,802,Data_100_27,649,,,790,704,165,Data_100_34,,829,,error,, ,813,326,,275,170,,,,error,581
101,Evan,Miller,evan.millerexample,555-6884,05/15/1990,Engineering,77603,Inactive,"Promoted, highly skilled",472,NULL,260,Data_101_14,error,,NULL,476,,295,Data_101_21,965,849,Data_101_24,763,Data_101_26,,,368,Data_101_30,Data_101_31,,999,,117,,Data_101_37,Data_101_38,Data_101_39,#N/A,65,error,Data_101_43,error,,898,677,642,#N/A,
102,,Miller,charlie.miller@example.com,555-7696,05/15/1990,Marketing,,Pending,,480,300,,326,,,491, ,NULL,,,519,671,483,346,,Data_102_27,471,179,114,error,,,,,Data_102_36,,742,,Data_102_40,Data_102_41,NULL,Data_102_43,431,,928,,,,357
103,Hannah,Miller,hannah.millerexample.com,555-3114,05/15/1990,Finance,68472,Active,On leave,,635,,308,219,264,406,,Data_103_19,23,Data_103_21,,,Data_103_24,,149,363,,error,81,,,#N/A,,Data_103_35,, ,Data_103_38,,,error,634,135,446,Data_103_45,,567,633,Data_103_49,error
104,Evan,Smith,evan.smith@example.com,555-2821,,HR,,Active,,,,,601,Data_104_15,,,54,,,961,,830,259,559,Data_104_26,,Data_104_28,632,699,152,382,665,579,Data_104_35,#N/A,205,NULL,,575,,error,269,,751,,,,,614
105,  Evan  ,Davis,,555-9582,1990-05-15,Engineering,65668,Pending,,,Data_105_12,,954,478,279,Data_105_17,NULL,76,381,, ,Data_105_23,,error,,,Data_105_28,378,,Data_105_31,Data_105_32,#N/A,Data_105_34,72,,Data_105_37,887,Data_105_39,,105,414,,error,,Data_105_46,709,Data_105_48,951,#N/A
106,George,Miller,george.miller@example.com,555-6173,1990-05-15,Sales,$59516,Pending,,,Data_106_12,58,617,Data_106_15,Data_106_16,627,Data_106_18,382,Data_106_20,,766,,674,Data_106_25,#N/A,816,Data_106_28,200,,,error,#N/A,169,,715,401,,error,error,,, ,911,,Data_106_46,882,Data_106_48,Data_106_49,Data_106_50
107,Fiona,Smith,fiona.smith@example.com,555-9166,05/15/1990,Marketing,54738,Active,,#N/A,655,,,NULL,Data_107_16,944,,Data_107_19,401,NULL,Data_107_22,#N/A,#N/A,415,,,82,954,Data_107_30,error, ,Data_107_33,error,318,Data_107_36,Data_107_37,,,,,736,Data_107_43,,Data_107_45,,,,,435
108,Evan,Miller,evan.miller@example.com,555-9808,May 15th 90,IT,$96646,,Needs review,718,NULL,,594,Data_108_15,NULL,272,,61,,Data_108_21,Data_108_22,993,986,error,720,#N/A,392,,888,,509, ,,,228, ,#N/A, ,915,Data_108_41,842,,818,163,508,50,Data_108_48,,
109,Evan,Johnson,evan.johnson@example.com,555-4213,1990-05-15,IT,TBD,Pending,,,,error,,,,496,Data_109_18,,,650,,,Data_109_24,,,Data_109_27,,18,Data_109_30,Data_109_31,#N/A,87,228,Data_109_35, ,Data_109_37,Data_109_38,326,,,600,, ,Data_109_45,608,,Data_109_48,Data_109_49,
110,Bob,Miller,bob.miller@example.com,555-9621,,Finance,,,,,264,,76,Data_110_15,Data_110_16,368,811,#N/A,,,318,Data_110_23,Data_110_24,Data_110_25,,Data_110_27,836,Data_110_29,353,NULL,,NULL,443,,Data_110_36,error, ,616,Data_110_40,996,#N/A,,635,Data_110_45,502,Data_110_47,612,42,388
111,Alice,Johnson,alice.johnson@example,555-7496,1990-05-15,Engineering,112634,Pending,Needs review,error,NULL,NULL,,864,327,,error,692,,#N/A,,857,Data_111_24,,,Data_111_27,259,,649,Data_111_31,692,652,Data_111_34,Data_111_35,Data_111_36,,Data_111_38,NULL,,Data_111_41,,302,169,256,,244,575,865,error
112,Diana,Jones,diana.jonesexample.com,555-4007,05/15/1990,HR,111046,Pending,,,,180,Data_112_14,396,Data_112_16,Data_112_17,,Data_112_19,,error,969,306,,Data_112_25,,,544,549,,600,337,#N/A,Data_112_34,Data_112_35,,966, ,,,error,,Data_112_43,Data_112_44,,,error,354,,Data_112_50
113,  Bob  ,Brown,bob.brown@example.com,555-6425,1990-05-15,Engineering,86647,Active,,0,,error, ,,,39,,699,987,247,,457,838,425,528,Data_113_27, ,819,,#N/A,,error,Data_113_34,Data_113_35,Data_113_36,924,,Data_113_39,,673,995,Data_113_43,Data_113_44,Data_113_45,,Data_113_47,,Data_113_49,751
114,Diana,,diana.davis@example.com,,May 15th 90,HR,112415,,,,,954, ,623,#N/A,203,10,695, ,#N/A,Data_114_22,Data_114_23,,error,,,583,,,#N/A,error,#N/A,,,,Data_114_37,690,456,,131,28,814,Data_114_44,,#N/A,302,Data_114_48,#N/A,
115,  Diana  ,Johnson,diana.johnsonexample.com,555-2977,May 15th 90,Marketing,62220,,On leave,951,Data_115_12,,,#N/A,244,721,,,401,,636,801,8,519,Data_115_26,,,Data_115_29,,Data_115_31,error,Data_115_33,Data_115_34,579,,,,,, ,101,,Data_115_44,244,,546,Data_115_48,921,878
116,George,Johnson,george.johnson@example.com,555-2622,,,71360,Inactive,Good worker,289,Data_116_12,2,Data_116_14,482,484,,937,Data_116_19,265,,,Data_116_23,328,391,944,, , ,Data_116_30,,,438,,538, ,731,112,542,,,,Data_116_43,NULL,#N/A,Data_116_46,,,807,Data_116_50
117,Evan,Brown,evan.brown@example.com,555-1553,,,85909,Pending,On leave,Data_117_11,672,178,695,,Data_117_16,,,, ,474, ,NULL,790,336,223,Data_117_27,Data_117_28,,,,,612,209,NULL,49,error,#N/A,,Data_117_40,,,75,Data_117_44,NULL,593,,829,NULL,
118,Charlie,Garcia,charlie.garcia@example,555-9666,05/15/1990,Sales,66260,,,996, ,72,289, , ,Data_118_17,Data_118_18,Data_118_19,508,NULL,949,,255,Data_118_25,,,Data_118_28,167,,Data_118_31,,,259,Data_118_35,644,503,error,Data_118_39,,,630,137,Data_118_44,,23,Data_118_47,335,58,
119,Bob,Jones,bob.jonesexample.com,555-3811,05/15/1990,Marketing,90503,Active,,167,994,,,728,994,427,651,,904,Data_119_21,,,, ,Data_119_26,306,Data_119_28,117,167,299,,557,Data_119_34,365,Data_119_36,Data_119_37,Data_119_38,#N/A,373, ,error,,Data_119_44,Data_119_45,15,,,,961
120,  Alice  ,Davis,alice.davis@example.com,,1990-05-15,Marketing,55188,Inactive,,Data_120_11,,,,969,599,11,Data_120_18,Data_120_19,error,660,195,,Data_120_24,696,708,Data_120_27,303,,885,680,, ,,,Data_120_36,408,120,Data_120_39, ,372,,795,,Data_120_45,874,Data_120_47,784,780,228
121,Fiona,Davis,fiona.davis@example.com,,05/15/1990,Sales,,Pending,,#N/A,404, ,#N/A,Data_121_15,Data_121_16,,Data_121_18,127,104,,,296,,Data_121_25,329,Data_121_27,#N/A,151,error,,Data_121_32,,error,982,,Data_121_37,39,Data_121_39,Data_121_40,Data_121_41,Data_121_42,Data_121_43,Data_121_44,641,252,NULL,,error,
122,Alice,Smith,,555-3274,05/15/1990,Finance,$111305,Pending,,,,Data_122_13,952,Data_122_15,,Data_122_17,Data_122_18,391,Data_122_20,,438,35,Data_122_24,,Data_122_26,127,910,#N/A,Data_122_30,,,,, ,#N/A,,,Data_122_39,Data_122_40,612,,,696,,Data_122_46,117,,Data_122_49, 
123,Alice,Johnson,alice.johnson@example.com,555-8914,,Sales,55745,Pending,On leave,,,,,,469,,,,541,error,Data_123_22,NULL,,Data_123_25,,213,717, ,544,,,771,,Data_123_35,Data_123_36,384,,623,error,311, ,561,779,Data_123_45,,Data_123_47,,,
124,Hannah,Jones,hannah.jones@example.com,,05/15/1990,,56004,Active,,#N/A,Data_124_12,#N/A,Data_124_14,,693,Data_124_17,,Data_124_19,#N/A,938,NULL,,error,,Data_124_26,,133,712,Data_124_30,,599,4,,,707,Data_124_37,Data_124_38,13,Data_124_40,,432,,NULL,,396,Data_124_47,Data_124_48,836,516
125,Charlie,Miller,charlie.miller@example.com,555-6819,05/15/1990,Marketing,96875,,,62,414,614,Data_125_14,#N/A,,Data_125_17,369,631,,Data_125_21,,,,,43,Data_125_27,441,Data_125_29,888,,error,,875,,error,Data_125_37,72,NULL,767,929,#N/A,763,,798,#N/A,181,49,Data_125_49,641
126,Charlie,Garcia,charlie.garciaexample.com,555-1782,05/15/1990,Marketing,$59124,Inactive,Good worker,786,,,905, ,NULL,error,Data_126_18,,error,,,,1,,926,,749,,759,,938,587,Data_126_34,,525,Data_126_37,,,error,591,,,277,Data_126_45,,927,,Data_126_49,307
127,Hannah,Brown,hannah.brown@example,,1990-05-15,Marketing,$64448,Inactive,,,Data_127_12,687,Data_127_14,Data_127_15,876,,NULL,,,Data_127_21,Data_127_22,,,Data_127_25,,,39,error,Data_127_30,Data_127_31,768,194,Data_127_34,,Data_127_36,NULL,324,738,Data_127_40, ,Data_127_42,Data_127_43,779,382,759,330,865,#N/A,722
128,Charlie,Johnson,charlie.johnson@example.com,,1990-05-15,Engineering,90449,Active,"Promoted, highly skilled",,,,,Data_128_15,862,828,522,error,,474,,952,,Data_128_25,Data_128_26,536,#N/A,643,NULL,296,Data_128_32,966,,,#N/A,588,NULL,942,,939,, ,,#N/A,359,,,140,207
129,Alice,Smith,alice.smith@example.com,,05/15/1990,Finance,114493,,,,654,,Data_129_14,Data_129_15,513,,Data_129_18, ,#N/A,440,,,695,Data_129_25,169,,Data_129_28,Data_129_29,357,261,Data_129_32,707,,613,190,,Data_129_38,#N/A,,Data_129_41,689,,NULL,Data_129_45,Data_129_46,Data_129_47,NULL,,64
130,Evan,Johnson,evan.johnson@example.com,555-5136,05/15/1990,IT,113313,,,436,,462,,520,821,176, ,,,NULL,150,59,Data_130_24,,213,580,, ,,,631,146,,,727,,754,387,,,684,264,,,198,,Data_130_48,,265
131,Bob,Jones,,555-8300,1990-05-15,IT,103081,Pending,,Data_131_11,383,,291,295,Data_131_16,,861,117,696,74,,797,Data_131_24,,662,,,Data_131_29,,,538,,,Data_131_35,231,,,904,,445,,,847,,Data_131_46,576,Data_131_48,639,
132,George,Williams,george.williams@example.com,555-9532,,Finance,55854,Active,On leave,Data_132_11,,Data_132_13,,,851,#N/A,Data_132_18,461,,737,#N/A,Data_132_23,174,Data_132_25,465,242,,NULL,Data_132_30,Data_132_31,397,244,774,NULL,868,#N/A,Data_132_38,,Data_132_40,Data_132_41,,691,450,502,Data_132_46,Data_132_47,,697,159
133,Fiona,Davis,fiona.davis@example,555-1079,,,$103045,Pending,,25,,,Data_133_14,,370,82,,411,452,,,Data_133_23,Data_133_24,484,Data_133_26,,,269,#N/A,,956,Data_133_33,,162,#N/A,Data_133_37,,,,421,469,Data_133_43,394,349,,,#N/A,746,
134,Hannah,Garcia,hannah.garcia@example.com,,1990-05-15,HR,107194,Active,,890,,,,629,Data_134_16,348,Data_134_18,error,,,,896,Data_134_24,385,804,,,#N/A,,#N/A,,312,,707,#N/A,,,,70,Data_134_41,Data_134_42,error,Data_134_44,625,91,847,,Data_134_49,600
135,  Charlie  ,Miller,charlie.miller@example.com,555-3318,05/15/1990,Finance,94962,,Good worker,,,258,,,Data_135_16,802,error,216,815, ,#N/A,,,Data_135_25,695,Data_135_27,Data_135_28,#N/A,520,,0,Data_135_33,Data_135_34,815,,Data_135_37,76,Data_135_39,656,Data_135_41,Data_135_42,968,713,,,Data_135_47,#N/A,576, 
136,Evan,Miller,evan.miller@example.com,555-1348,,Engineering,96965,Active,"Promoted, highly skilled",380,,NULL,,,,Data_136_17,83,Data_136_19,Data_136_20,590,,,error,830, ,#N/A,250,Data_136_29,105,,,Data_136_33, ,419,Data_136_36,Data_136_37,Data_136_38,Data_136_39,Data_136_40,,Data_136_42,855,,917,,Data_136_47,769,332,
137,Diana,Brown,diana.brown@example.com,555-4598,05/15/1990,Engineering,83906,Inactive,,,326,#N/A,632,Data_137_15,1,451,,470,,297,633,,,,954,,648,,,Data_137_31,863,NULL,,Data_137_35,321,error,722,NULL,,Data_137_41,,272,515,,700,#N/A,965,807,
138,Bob,Jones,bob.jones@example.com,555-2628,05/15/1990,HR,$51723,Pending,"Promoted, highly skilled",Data_138_11,847,#N/A,,#N/A,969,712,Data_138_18,443,451, ,,,666,Data_138_25,Data_138_26,, ,,303,765,,589,,#N/A,,,,error,NULL,320,Data_138_42,437,,,,,Data_138_48,992,
139,Evan,Garcia,evan.garcia@example.com,,1990-05-15,,88266,Pending,Needs review,539,Data_139_12,, ,,,,Data_139_18,NULL,Data_139_20,,Data_139_22,Data_139_23,,715,,#N/A,Data_139_28,854,684,,960,Data_139_33,,297, ,, ,Data_139_39,Data_139_40,Data_139_41,190,Data_139_43,736,,796,946,Data_139_48,Data_139_49,
140,,Johnson,george.johnson@example.com,555-4257,1990-05-15,Finance,88488,Inactive,On leave,557,669,68,331,#N/A,,NULL,Data_140_18,,Data_140_20, ,,Data_140_23,Data_140_24,592,Data_140_26,748,,,,Data_140_31,Data_140_32,,,,Data_140_36,Data_140_37,Data_140_38,Data_140_39,,,,,,error,Data_140_46,626,error,error,90
141,Bob,Williams,bob.williams@example.com,555-2637,1990-05-15,,100901,Active,Needs review,445,446,610,,,,Data_141_17,NULL,178,895,,,,512, ,813,, ,,error,,28, ,,Data_141_35,NULL,,468,619,623,#N/A,765,Data_141_43,,955,,827,189,956,
142,Fiona,Williams,fiona.williams@example,555-7553,,IT,$79292,,,,Data_142_12,618,511,178,187,,,936,329,673,,Data_142_23,203,,596,NULL, ,#N/A,error,120,,Data_142_33,,NULL,Data_142_36,,Data_142_38,535,,#N/A,#N/A,718, ,513,859,Data_142_47,,error,Data_142_50
143,George,,george.brown@example.com,555-3594,May 15th 90,Engineering,TBD,Active,Good worker,error,Data_143_12,,432,#N/A,,,#N/A,581,,,648,648,,582,97,670,557, ,Data_143_30,407,,192,,,519,672,#N/A,,NULL,699,,859,Data_143_44,528,,,,error,49
144,Evan,Jones,evan.jonesexample.com,,05/15/1990,Sales,82585,Active,"Promoted, highly skilled",,,180,Data_144_14,,,,,NULL,645,,975,error,407,, ,Data_144_27,747,Data_144_29,344,689,error,Data_144_33,NULL, ,443,,,Data_144_39,error,499,289,Data_144_43,Data_144_44,Data_144_45,,,791,621,
145,Fiona,Brown,fiona.brown@example.com,555-7485,05/15/1990,,50467,Pending,On leave,Data_145_11,447,563,,,231,Data_145_17,error,error,183,880,128,658,,148,Data_145_26,521,,,Data_145_30,378,564,Data_145_33,Data_145_34,,NULL,,#N/A,Data_145_39,,NULL,,Data_145_43,,228,Data_145_46,#N/A,Data_145_48,,
146,Evan,Williams,evan.williams@example.com,,05/15/1990,IT,63230,Inactive,On leave,247,, ,#N/A, ,180,415,,#N/A,,,831,NULL,894,Data_146_25,,101,979,361,276,297,778,788,#N/A,, ,931,,Data_146_39, ,,243,Data_146_43,898,694,812,,,690,70
147,Evan,Smith,,555-8451,1990-05-15,Finance,$65140,Pending,"Promoted, highly skilled",Data_147_11,,355,0,Data_147_15,Data_147_16,,494,NULL,,,574, ,,,,Data_147_27,Data_147_28,564,Data_147_30,error,,644,,Data_147_35,575,,Data_147_38,295,Data_147_40,Data_147_41,Data_147_42,966,,526, ,305,,,98
148,Evan,Williams,evan.williamsexample.com,555-5582,1990-05-15,Finance,76746,Inactive,"Promoted, highly skilled",223,Data_148_12,,Data_148_14,Data_148_15,#N/A,,,,402,Data_148_21,,,437, ,,23,Data_148_28,123,Data_148_30,,705,Data_148_33,122,,,,965,,Data_148_40,667,48,,196,279,error,,,Data_148_49,643
149,Evan,Jones,evan.jones@example.com,555-9753,May 15th 90,Engineering,TBD,Active,,41,601,934,643,,,,Data_149_18,,,,error,error,#N/A,,,NULL,,913,Data_149_30,,971,#N/A,#N/A,,Data_149_36, ,988,288,282,Data_149_41,604,,429,,501,26,311,Data_149_49,763
150,Fiona,Davis,fiona.davis@example.com,555-8865,05/15/1990,,,Active,Needs review,Data_150_11,,584,,,,,Data_150_18,172,,746,,NULL,,440,623,#N/A,,187,82,Data_150_31,Data_150_32,,27,,314,, ,544,,Data_150_41,Data_150_42,511,936,22,,Data_150_47,Data_150_48,,Data_150_50
151,Bob,Jones,bob.jones@example.com,555-9109,May 15th 90,Finance,70766,Active,,,,Data_151_13,272,Data_151_15,,641,,,295,170,341,,907,219,error,,536,#N/A,268,,Data_151_32,309, ,Data_151_35,,469,,177,,,937,,Data_151_44,Data_151_45,870,,Data_151_48,NULL,Data_151_50
152,,Smith,george.smith@example.com,555-4626,May 15th 90,HR,84026,Inactive,,,,718,Data_152_14,881,Data_152_16,742,,852,Data_152_20,521,Data_152_22,505,Data_152_24,,Data_152_26,,Data_152_28,Data_152_29,,Data_152_31,Data_152_32,#N/A,Data_152_34,622,,,550,Data_152_39,68,,,246,,475,,Data_152_47,868,,
153,Fiona,Miller,fiona.millerexample.com,,1990-05-15,Sales,81297,Active,,NULL,,818,,, ,Data_153_17,error,914,184,539,,838,,218,712,NULL,error,,Data_153_30,530,,461,,376,,997,210,Data_153_39,448,,Data_153_42,#N/A,344,496,Data_153_46,,992,error,439
154,Charlie,Johnson,charlie.johnson@example.com,555-9144,1990-05-15,Finance,111137,Pending,,Data_154_11,Data_154_12, ,Data_154_14,126,585,,185,,352,NULL,547,,error,Data_154_25,,Data_154_27,Data_154_28,970,,,6,683,,189,74,244,Data_154_38,NULL,520,Data_154_41,,,,Data_154_45,, ,,,#N/A
155,George,Jones,george.jonesexample.com,555-6330,1990-05-15,,65542,,Good worker,217,,error,,Data_155_15,,448,,Data_155_19,Data_155_20,847, ,390,Data_155_24,346,974,,,236,Data_155_30,Data_155_31,425,Data_155_33,347,Data_155_35,690, ,,,733,644,967,917,,625,68,Data_155_47,NULL,Data_155_49,358
156,Alice,Brown,alice.brown@example,555-2268,05/15/1990,,114721,Active,,,190,, ,#N/A, ,Data_156_17,,Data_156_19,382,295,NULL,Data_156_23,Data_156_24,400,,164,Data_156_28,301,NULL, ,,,158,Data_156_35,Data_156_36,Data_156_37,997,,, ,Data_156_42,#N/A,803,,Data_156_46,#N/A,985, ,619
157,Diana,Davis,diana.davis@example.com,555-9680,05/15/1990,HR,$60954,Active,,,NULL,,,,651,Data_157_17,NULL,#N/A,11,Data_157_21,873,,Data_157_24,,Data_157_26,error,,Data_157_29,405,#N/A,error,Data_157_33,NULL,911,,NULL,,Data_157_39,38,#N/A,841,Data_157_43,708,Data_157_45,,,273,Data_157_49,672
158,Bob,Smith,bob.smith@example.com,555-2485,,Sales,115028,,Good worker,889,493,128,Data_158_14,Data_158_15,Data_158_16,Data_158_17,,Data_158_19,92,#N/A,458,NULL,Data_158_24,Data_158_25,899,,614,984,Data_158_30,537,Data_158_32,,,Data_158_35,NULL,318,117,31,,Data_158_41,Data_158_42,717,245,,644,,398,,648
159,Bob,Garcia,bob.garciaexample.com,555-3046,1990-05-15,IT,107829,,Good worker,,108,Data_159_13,205,519,494,,,,,639,,Data_159_23,640,549,,620,Data_159_28,Data_159_29,,Data_159_31,886,,,104,error,140,561,,1,Data_159_41,,Data_159_43,722,Data_159_45,Data_159_46,Data_159_47,,417,
160,George,Davis,george.davis@example.com,555-3328,1990-05-15,IT,88105,Active,,,,,Data_160_14,#N/A,,573,Data_160_18,Data_160_19,Data_160_20,233,,,Data_160_24,,527,error,148,524,,,939,,Data_160_34,965,Data_160_36,error,error,875,,48,Data_160_42,,, ,Data_160_46,167,,Data_160_49,Data_160_50
161,,Johnson,hannah.johnson@example.com,555-6793,05/15/1990,Marketing,$58141,Inactive,,Data_161_11,449,728,,,Data_161_16, ,,,132,Data_161_21,Data_161_22,Data_161_23,,196,219,,862, ,918,,282,,852,,Data_161_36,Data_161_37,NULL,Data_161_39,605,199,465,Data_161_43,Data_161_44,Data_161_45,,Data_161_47,,,193
162,George,Davis,george.davis@example.com,555-6892,1990-05-15,Sales,$101067,Inactive,,447,NULL,163,896,,Data_162_16,895,762,Data_162_19,Data_162_20,,Data_162_22,error,,,,,190,#N/A,354,Data_162_31,Data_162_32,error,NULL,668,,775,error,,,541,Data_162_42,,Data_162_44,321,286,850,366,,908
163,,Brown,evan.brown@example.com,555-7197,1990-05-15,Engineering,92512,Inactive,Good worker,,241,#N/A,Data_163_14,411,Data_163_16,#N/A,Data_163_18,,303,Data_163_21,821,,error,Data_163_25,466,687, ,197,,Data_163_31,310,401,Data_163_34,,error,182,Data_163_38,,Data_163_40, ,Data_163_42,Data_163_43,423,,,905,145,Data_163_49,779
164,Alice,Smith,alice.smith@example.com,555-4937,05/15/1990,Engineering,82559,Active,,Data_164_11,Data_164_12,,NULL,,860,,611,228,Data_164_20,26,,40,Data_164_24,error,Data_164_26,, ,#N/A,Data_164_30,449,,60,,error,Data_164_36,204,,22,Data_164_40, ,,,,Data_164_45,,,,948,
165,George,Smith,george.smith@example.com,555-8615,05/15/1990,HR,116687,Pending,,Data_165_11,,802,189,Data_165_15,,,,error,,Data_165_21,NULL,,Data_165_24,,669,,32,915,NULL,NULL,Data_165_32,95,,Data_165_35,,Data_165_37,,,Data_165_40,,61,,525,,,82,63,error,18
166,  Bob  ,Smith,,,1990-05-15,Engineering,87374,Active,,,,788,,Data_166_15,,Data_166_17,32,Data_166_19,,Data_166_21,131,246,821,Data_166_25,168,194,,619,811,,,,,59,,,921,948,Data_166_40,442,,Data_166_43,909,640,,error,994,Data_166_49,
167,Bob,Johnson,bob.johnson@example.com,,,HR,,Active,On leave, ,Data_167_12,,NULL,,523,Data_167_17, ,216,314, ,NULL,Data_167_23,983,Data_167_25,,,629,292,686,Data_167_31,,,720,,,,NULL,,Data_167_40,,,,897,922,,,,,59
168,Hannah,Jones,hannah.jones@example.com,555-9342,May 15th 90,IT,$105249,,"Promoted, highly skilled",Data_168_11,,107, ,Data_168_15,,827,,156,error,60,,error,,640,NULL,,Data_168_28,Data_168_29,Data_168_30,938,Data_168_32,690,682,,800,562,#N/A,Data_168_39,,,,,#N/A,152,,error,NULL,,884
